rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
electric_bike,member,Friday,January,Under 10,15,340
electric_bike,member,Monday,January,Under 10,15,457
electric_bike,member,Saturday,January,Under 10,12,259
classic_bike,member,Monday,January,10 to 30,16,392
classic_bike,member,Wednesday,January,10 to 30,5,67
classic_bike,member,Sunday,January,Under 10,11,288
classic_bike,member,Friday,January,Under 10,14,293
electric_bike,member,Thursday,January,Under 10,18,514
classic_bike,member,Monday,January,10 to 30,14,174
electric_bike,member,Wednesday,January,Under 10,19,421
electric_bike,member,Wednesday,January,Under 10,7,577
classic_bike,member,Wednesday,January,10 to 30,17,636
electric_bike,member,Wednesday,January,Under 10,17,917
electric_bike,member,Friday,January,Under 10,12,253
electric_bike,member,Sunday,January,Under 10,8,81
electric_bike,member,Wednesday,January,Under 10,8,716
electric_bike,member,Saturday,January,Under 10,11,247
electric_bike,member,Wednesday,January,10 to 30,18,252
classic_bike,member,Saturday,January,Under 10,13,279
electric_bike,member,Friday,January,Under 10,13,267
classic_bike,member,Monday,January,Under 10,14,362
classic_bike,member,Saturday,January,Under 10,11,258
classic_bike,member,Thursday,January,Under 10,10,301
classic_bike,member,Saturday,January,10 to 30,14,145
classic_bike,member,Thursday,January,10 to 30,14,147
classic_bike,member,Saturday,January,10 to 30,13,148
classic_bike,member,Sunday,January,10 to 30,17,116
classic_bike,member,Wednesday,January,Under 10,18,744
electric_bike,member,Thursday,January,Under 10,16,763
electric_bike,member,Monday,January,Under 10,10,235
classic_bike,member,Tuesday,January,Under 10,19,384
classic_bike,casual,Monday,January,10 to 30,19,30
classic_bike,casual,Tuesday,January,10 to 30,11,20
classic_bike,casual,Wednesday,January,10 to 30,16,62
electric_bike,member,Friday,January,10 to 30,20,75
classic_bike,member,Friday,January,Under 10,13,289
electric_bike,member,Monday,January,Under 10,11,276
electric_bike,member,Saturday,January,Under 10,16,228
classic_bike,member,Wednesday,January,Under 10,8,919
electric_bike,member,Thursday,January,Under 10,8,726
classic_bike,member,Monday,January,Under 10,9,345
classic_bike,member,Monday,January,10 to 30,12,142
classic_bike,member,Friday,January,10 to 30,6,75
electric_bike,member,Tuesday,January,Under 10,13,272
classic_bike,member,Tuesday,January,Under 10,13,329
classic_bike,member,Monday,January,Under 10,13,375
